+------------------------------------------------------------------------+------------------------------+-----------------------------------------+---------------------------------------------+-----------------------------------------------+-----------------------------+-----------------------------------------+--------------------------------------------+----------------------------------------------+
|                                                                        | "callable" / "scope: global" | "callable_object" / "scope: global"     | "callable_object_closure" / "scope: global" | "callable_object_invokable" / "scope: global" | "callable" / "scope: local" | "callable_object" / "scope: local"      | "callable_object_closure" / "scope: local" | "callable_object_invokable" / "scope: local" |
+------------------------------------------------------------------------+------------------------------+-----------------------------------------+---------------------------------------------+-----------------------------------------------+-----------------------------+-----------------------------------------+--------------------------------------------+----------------------------------------------+
| "PhpModuleDummy1"                                                      | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| { object # PhpModuleDummy1 }                                           | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| "PhpModuleDummy2"                                                      | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| { object # PhpModuleDummy2 }                                           | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| "PhpModuleDummy3"                                                      | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| { object # PhpModuleDummy3 }                                           | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| "PhpModuleDummy4"                                                      | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| { object(invokable) # PhpModuleDummy4 }                                | TRUE                         | { object(invokable) # PhpModuleDummy4 } | NULL                                        | { object(invokable) # PhpModuleDummy4 }       | TRUE                        | { object(invokable) # PhpModuleDummy4 } | NULL                                       | { object(invokable) # PhpModuleDummy4 }      |
| "PhpModuleDummy1::publicMethod"                                        | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| "PhpModuleDummy1::protectedMethod"                                     | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| "PhpModuleDummy1::privateMethod"                                       | FALSE                        | NULL                                    | NULL                                        | NULL                                          | FALSE                       | NULL                                    | NULL                                       | NULL                                         |
| "PhpModuleDummy1::publicStaticMethod"                                  | TRUE                         | NULL                                    | NULL                                        | NULL                                          | TRUE                        | NULL                                    | NULL                                       | NULL                                         |
| "PhpModuleDummy1::protectedStaticMethod"                               | FALSE                        | NULL                                    | NULL                                        | NULL                                          | TRUE                        | NULL                                    | NULL                                       | NULL                                         |
| "PhpModuleDummy1::privateStaticMethod"                                 | FALSE                        | NULL                                    | NULL                                        | NULL                                          | TRUE                        | NULL                                    | NULL                                       | NULL                                         |
