+---------------------------------------------------------------------------------+--------------------+--------------------+------------------------------------------------------------+
|                                                                                 | A@0 | NAN          | A@1 | NULL         | A@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil } |
+---------------------------------------------------------------------------------+--------------------+--------------------+------------------------------------------------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan | NAN ? cmpValuesNan | NAN ? cmpValuesNan                                         |
| B@1 | NULL                                                                      | NAN ? cmpValuesNan | 0 ? cmpValuesNull  | NAN ? cmpValuesNil                                         |
| B@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil }                      | NAN ? cmpValuesNan | NAN ? cmpValuesNil | 0 ? cmpValuesNil                                           |
| B@3 | "NAN"                                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@4 | "NULL"                                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@5 | "{N}"                                                                     | NAN ? cmpValuesNan | NAN ? cmpValuesNil | 0 ? cmpValuesNil                                           |
| B@6 | FALSE                                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@7 | TRUE                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@8 | 0                                                                         | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@9 | 1                                                                         | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@10 | 0.0                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@11 | 1.0                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@12 | 1.1                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@13 | 10.0                                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@14 | 11.0                                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@15 | 0.11                                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@16 | 9223372036854775807                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@17 | -9223372036854775808                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@18 | 9.223372036854776E+18                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@19 | -9.223372036854776E+18                                                   | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@20 | 1.7976931348623157E+308                                                  | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@21 | -1.7976931348623157E+308                                                 | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@22 | INF                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@23 | -INF                                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@24 | ""                                                                       | NAN ? cmpValuesNan | 0 ? cmpValuesNull  | NAN ? cmpValuesNil                                         |
| B@25 | "a"                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@26 | "b"                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@27 | "ab"                                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@28 | "ba"                                                                     | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@29 | "0"                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@30 | "1"                                                                      | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@31 | "0.0"                                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@32 | "1.0"                                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@33 | "1.1"                                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
| B@34 | "1e1"                                                                    | NAN ? cmpValuesNan | -1 ? cmpValuesNull | NAN ? cmpValuesNil                                         |
